Numéro Etablissement;Numéro entité juridique;Raison sociale;Raison sociale - Libellé long;Complément de raison sociale;Complément de distribution;Code Département;Département;Téléphone;Fax;Code catégorie d’établissement;Catégorie d'établissement;Code agrégat d’établissemen;Catégorie d’agrégat d’établissement;Code APE;Code MFT;Libellé MFT;Code SPH;Libellé SPH;Date d’ouverture;Date d’autorisation;Dernière date de MAJ;Année;Adresse;Code INSEE;Code postal;Commune;Coordonnées de l'établissement;EPCI
970464277;970401006;PHARMACIE DU TAMARINIER;PHARMACIE DU TAMARINIER;;;9D;LA REUNION;;97427;L ETANG SALE;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;1;Etablissement Tarif Libre;;;2017-03-04;2017-11-13;2018-08-13;2018;121 AV RAYMOND BARRE;;97427;L ETANG SALE;-21.264047,55.363627;
970407177;970463592;AURAR DIALYSE PERITONEALE;AURAR ENTRAINEMENT DIALYSE PERITONEALE;;;9D;LA REUNION;97410;ST PIERRE;146;Structure d'Alternative à la dialyse en centre;1203;Dialyse Ambulatoire;;07;ARH établissements de santé non financés dotation globale;0;non PSPH;2008-11-26;2008-11-26;2009-01-06;2010;22 R DES ROCHES;9D9D416;97410;ST PIERRE;-21.343427,55.49447;
970406203;970406195;CLINIQUE DE LA PAIX (ST BENOIT);CLINIQUE DE LA PAIX (ST BENOIT);;;9D;LA REUNION;97470;ST BENOIT;109;Etablissement de santé privé autorisé en SSR;1107;Soins Suite & Réadap;;07;ARS établissements de santé non financés dotation globale;0;Non concerné;2006-06-27;2008-02-01;2013-09-10;2013;1 BD FRANCOIS MITTERRAND;9D9D410;97470;ST BENOIT;-21.036224,55.712458;
970465217;970401931;PHARMACIE BEAULIEU;PHARMACIE BEAULIEU;;;9D;LA REUNION;0262501049;0026250469;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;;01;Etablissement Tarif Libre;;;2013-09-11;2009-12-08;2018-10-31;2019;6 CHEM DES GOYAVES;9D410;97470;ST BENOIT;-21.034691,55.703733;
970403697;970463592;A.U.R.A.R. (UNITE AUTODIALYSE ST BENO);A.U.R.A.R. (UNITE D'AUTODIALYSE - SAINT-BENOIT);;;9D;LA REUNION;97470;ST BENOIT;146;Structure d'Alternative à la dialyse en centre;1203;Dialyse Ambulatoire;;07;ARS établissements de santé non financés dotation globale;0;Non concerné;1980-09-03;1997-01-01;2007-02-28;2012;1 R DES AUBEPINES;9D9D410;97470;ST BENOIT;-21.057167,55.711346;
970404141;970404133;PHARMACIE DE BAGATELLE;;;;9D;LA REUNION;97441;STE SUZANNE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;99;indéterminé;;;;2005-12-02;;;2008;12 CHE PANON;9D9D420;97441;STE SUZANNE;-20.92904,55.582866;
970408357;970408324;SITE REUNILAB OCEAN;SITE REUNILAB OCEAN;;;9D;LA REUNION;;97400;ST DENIS;Laboratoire de Biologie Médicale;3101;Labo Biolog Médicale;;1;Etablissement Tarif Libre;;;2011-06-30;2011-01-08;2015-02-11;2018;22 R JAWAHARLAL NEHRU;;97400;ST DENIS;-20.881263,55.456948;
970406062;970430948;F.A.O. (DE L'A.D.A.P.E.I.  AU TAMPON);FOYER D'ACCUEIL OCCUPATIONNEL (DE L'A.D.A.P.E.I.  AU TAMPON);;;9D;LA REUNION;02 62 71 04 04;97430;LE TAMPON;Foyer de Vie pour Adultes Handicapés;4301;Héberg.Adultes Handi;;8;Président du Conseil Départemental;;;2004-08-24;2005-01-02;2014-12-06;2018;11 IMP ARTHUR RIMBAUD;;97430;LE TAMPON;-21.25319,55.501654;
970406104;970402889;LABM RIVIERE SAINTE MARIE;LABORATOIRE D'ANALYSE BIOLOGIE MEDICALE RIVIERE SAINTE MARIE;;;9D;LA REUNION;97438;STE MARIE;610;Laboratoire d'Analyses;3101;Labo.d'Analyses;01;Etablissement Tarif Libre;;;;2006-06-21;;;2008;28 R MONTEE DES VEUVES;9D9D418;97438;STE MARIE;-20.897343,55.547543;
970405080;970405072;PHARMACIE DES CANOTS;PHARMACIE DES CANOTS;;;9D;LA REUNION;97427;L ETANG SALE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;4773Z;99;Indéterminé;;;2000-08-09;2001-06-22;2011-04-20;2012;115 RTE DES CANOTS;9D9D404;97427;L ETANG SALE;-21.25306,55.364078;
970408639;970408621;ETABLISSEMENT PHARMACEUTIQUE;ETABLISSEMENT PHARMACEUTIQUE;;;9D;LA REUNION;;;699;Entité Ayant Autorisation;1205;Autres Etablissements Relevant de la Loi Hospitalière;;99;Indéterminé;0;Non concerné;2011-06-23;2011-06-14;2011-12-08;2019;7 R SAINTE MARGUERITE;9D411;97490;ST DENIS;-20.898953,55.49063;
970408084;970408076;LBM WEST BIOLOGIE;LABORATOIRE BIOLOGIE MEDICALE WEST BIOLOGIE;;;9D;LA REUNION;97460;ST PAUL;611;Laboratoire de Biologie Médicale;3101;Labo Biolog Médicale;;01;Etablissement Tarif Libre;;;2011-01-17;2011-01-17;2011-01-24;2011;11 R SARDA GARRIGA;9D9D415;97460;ST PAUL;-21.010639,55.270471;
970405106;970400461;RELAIS FAMILIAL S.O.S. DETRESSE;RELAIS FAMILIAL S.O.S. DETRESSE;;;9D;LA REUNION;97410;ST PIERRE;166;Etablissement d'Accueil Mère-Enfant;4501;Aide Sociale Enfance;;99;Indéterminé;;;2000-10-01;2000-10-01;2009-09-24;2012;2 R SAINTE MARIE;9D9D416;97410;ST PIERRE;-21.337517,55.469687;
970403895;970403887;PHARMACIE BASTIDE;PHARMACIE BASTIDE;;;9D;LA REUNION;97440;ST ANDRE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;4773Z;99;indéterminé;;;2000-09-07;2000-10-30;2010-08-25;2010;826 CHE RAVINE CREUSE;9D9D409;97440;ST ANDRE;-20.966997,55.665341;
970451001;970430914;C.E.A.P. MAISON NOTRE-DAME;CENTRE PR ENFANTS & ADO. POLYHANDCAPES MAISON NOTRE DAME;MAISON NOTRE DAME;;9D;LA REUNION;97435;ST GILLES LES HAUTS;188;Etablissement pour Enfants ou Adolescents Polyhandicapés;4101;Déf.Mentaux Polyhand;05;Préfet de Département établissements médico-sociaux;;;;2006-01-23;;;2008;36 R DE L'EGLISE;9D9D415;97435;ST GILLES LES HAUTS;-21.041502,55.274299;
970464558;970401287;PHARMACIE DE BELLEMENE;PHARMACIE DE BELLEMENE;;;9D;LA REUNION;97460;ST PAUL;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;1988-06-23;;;;2005;130 R MONTROUGE;9D9D415;97460;ST PAUL;-21.022719,55.291734;
970465753;970402483;PHARMACIE NATIVEL FRANCOIS;PHARMACIE NATIVEL FRANCOIS;;;9D;LA REUNION;0262565525;0026256552;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;;01;Etablissement Tarif Libre;;;2002-07-29;1974-06-19;2019-01-16;2019;4 R DU GENERAL LAMBERT;9D412;97480;ST JOSEPH;-21.378283,55.619245;
970464798;970401527;PHARMACIE DU OUAKI;PHARMACIE DU OUAKI;;;9D;LA REUNION;0262390213;0026239306;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;;01;Etablissement Tarif Libre;;;2014-11-30;1993-01-26;2019-02-15;2019;265 RTE DE CILAOS;9D414;97421;ST LOUIS;-21.269475,55.448408;
970463832;970400578;PHARMACIE DE JOLI FOND;PHARMACIE DE JOLI FOND;;;9D;LA REUNION;97410;ST PIERRE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;;2002-03-26;;;2007;12 CHE ANTOINE ARAGOT;9D9D416;97410;ST PIERRE;-21.328437,55.474175;
970466009;970402608;PHARMACIE LA NOUVELLE;;;;9D;LA REUNION;97423;LE GUILLAUME;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1991-09-03;1997-11-04;2008-02-05;2014;1 R DE L EGLISE;9D9D415;97423;LE GUILLAUME;-21.033189,55.298925;
970464905;970401634;PHARMACIE LECHAT;PHARMACIE LECHAT;;;9D;LA REUNION;0262535350;0026253975;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;;01;Etablissement Tarif Libre;;;1980-07-11;1994-06-27;2018-07-27;2019;174 R ROGER PAYET;9D418;97438;STE MARIE;-20.916148,55.509809;
970464749;970401477;PHARMACIE DE LA RAVINE DES CABRIS;PHARMACIE DE LA RAVINE DES CABRIS;;;9D;LA REUNION;97432;RAVINE DES CABRIS;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1992-04-24;2008-01-25;2008-02-07;2016;2 CHE MOULIN A CAFE;9D9D416;97432;RAVINE DES CABRIS;-21.28217,55.474364;
970406856;970406849;E.M.A.P.;ECOLE DES METIERS D'ACCOMPAGNEMENT D'AIDE A LA PERSONNES;;;9D;LA REUNION;97432;RAVINE DES CABRIS;330;Ecoles Formant aux Professions Sociales;6201;Etab.Form.Pers.Soc.;;99;Indéterminé;;;2005-06-18;2012-10-01;2014-08-21;2015;1 CHE VÉLIA;9D9D416;97432;RAVINE DES CABRIS;-21.287257,55.482041;
970403598;970403549;PHARMACIE DE LA POINTE DES CHATEAUX;;;;9D;LA REUNION;97436;ST LEU;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;4773Z;01;Etablissement Tarif Libre;;;2003-02-26;2002-05-01;2010-08-25;2010;26 R DES MASCAREIGNES;9D9D413;97436;ST LEU;-21.1462,55.279224;
970408951;970408936;SITE DE LA RAVINE;SITE DE LA RAVINE;;;9D;LA REUNION;97432;RAVINE DES CABRIS;611;Laboratoire de Biologie Médicale;3101;Labo Biolog Médicale;;01;Etablissement Tarif Libre;;;2012-10-09;2012-10-09;2012-10-09;2014;40 R PERE MAITRE;9D9D416;97432;RAVINE DES CABRIS;-21.285205,55.468177;
970406245;970406237;CLINIQUE DE SAINT JOSEPH;CLINIQUE DE SAINT JOSEPH;;;9D;LA REUNION;97480;ST JOSEPH;108;Etablissement de Convalescence et de Repos;1107;Soins Suite & Réadap;;07;ARH établissements de santé non financés dotation globale;0;non PSPH;2006-06-17;2009-11-23;2009-11-23;2009;R ROLAND GARROS;9D9D412;97480;ST JOSEPH;-21.377503,55.612323;
970465530;970402269;PHARMACIE DE SAINT BERNARD;PHARMACIE DE SAINT BERNARD;;;9D;LA REUNION;97417;LA MONTAGNE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1987-11-09;2010-01-04;2010-01-08;2015;146 CHE DU PERE RAIMBAULT;9D9D411;97417;LA MONTAGNE;-20.907983,55.400944;
970462842;970404562;I. R. T. S.;INSTITUT REGIONAL DU TRAVAIL SOCIAL DE LA REUNION;;;9D;LA REUNION;97470;ST BENOIT;330;Ecoles Formant aux Professions Sociales;6201;Etab.Form.Pers.Soc.;01;Etablissement Tarif Libre;;;;2007-09-12;;;2008;1 R SULLY BRUNET;9D9D410;97470;ST BENOIT;-21.032097,55.714354;
970431243;970430922;GARDERIE MUNICIPALE DE LA;;;RAVINE CREUSE;9D;LA REUNION;97440;ST ANDRE;171;Garderie et Jardin d'Enfants;5101;Etab.Gard.Enf.Présco;;01;Etablissement Tarif Libre;;;1978-01-01;1978-01-01;1987-02-13;2011;RAVINE CREUSE;9D9D409;97440;ST ANDRE;-20.966302,55.665281;
970430765;970400172;C H R S  ROSE DES BOIS;CENTRE D'HEBERGEMENT ET DE READAPTATION SOCIALE  ROSE DES BO;;CAMELIAS;9D;REUNION;97400;ST DENIS;214;Centre Hébergement & Réinsertion Sociale (C.H.R.S.);4601;Adult.Fam.Difficulté;05;Préfet de Département établissements médico-sociaux;;;1980-01-01;;;;2004;10 R DES AJONCS;9D9D411;97400;ST DENIS;-20.898874,55.457309;
970406526;970405270;F.A.O. HENRI LAFAY;FOYER D'ACCUEIL OCCUPATIONNEL HENRI LAFAY;;;9D;LA REUNION;97434;ST GILLES LES BAINS;382;Foyer de Vie pour Adultes Handicapés;4301;Héberg.Adultes Handi;;08;Président du Conseil Départemental;;;2006-09-04;2012-10-22;2014-08-06;2016;60 AV CAPRICORNE;9D9D415;97434;ST GILLES LES BAINS;-21.050416,55.231759;
970403085;970403580;L.A.B.M. SUD BIOLOGIE MEDICALE;LABM SUD BIOLOGIE MEDICALE;;;9D;LA REUNION;97480;ST JOSEPH;610;Laboratoire d'Analyses;3101;Labo.d'Analyses;;01;Etablissement Tarif Libre;;;1994-08-12;1997-01-01;2006-04-10;2009;2 R GENERAL LAMBERT;9D9D412;97480;ST JOSEPH;-21.37827,55.619014;
970466272;590799730;E.S.A.T. JEAN CLERMONT (ST ANDRE);ETS & SERVICE D'AIDE PAR LE TRAVAIL JEAN CLERMONT (ST ANDRE);;;9D;LA REUNION;97440;ST ANDRE;246;Etablissement et Service d'Aide par le Travail (E.S.A.T.);4302;Trav.Prot.Adul.Handi;;05;Préfet de Département établissements médico-sociaux;;;1991-10-28;1994-11-01;2006-01-25;2009;1213 CHE PATELIN;9D9D409;97440;ST ANDRE;-20.971812,55.675055;
970466777;750721334;S.S.A.D.P.A. CROIX ROUGE (TAMPON);SERVICE DE SOINS A DOMICILE PR PERSONNES AGEES CROIX ROUGE;;;9D;LA REUNION;97430;LE TAMPON;354;Service de Soins Infirmiers A Domicile (S.S.I.A.D);4605;Etab.multi-clientèle;;54;Tarif AM - Services de Soins Infirmiers A Domicile;;;1993-10-15;1995-09-01;2016-04-05;2016;42 R DACHERY;9D9D422;97430;LE TAMPON;-21.271051,55.527714;
970465092;970401824;PHARMACIE DU VACOA;PHARMACIE DU VACOA;;;9D;LA REUNION;97442;ST PHILIPPE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;1989-06-30;;;;2005;24 R LECONTE DELISLE;9D9D417;97442;ST PHILIPPE;-21.361328,55.762033;
970403218;970403168;BIONORD;BIONORD;;;9D;LA REUNION;97441;STE SUZANNE;610;Laboratoire d'Analyses;3101;Labo Biolog Médicale;;01;Etablissement Tarif Libre;;;2002-04-16;2002-04-29;2003-02-05;2012;22 RPT DES METIERS;9D9D420;97441;STE SUZANNE;-20.93078,55.637263;
970464210;970400958;PHARMACIE DU ROSAIRE;PHARMACIE DU ROSAIRE;;;9D;LA REUNION;97421;LA RIVIERE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1992-07-29;2005-03-04;2012-11-19;2016;13 R PENTE NICOLE;9D9D414;97421;LA RIVIERE;-21.263611,55.437475;
970403663;970463600;UAD-UDM (STE ANDRE) - ASDR;UNITE AUTODIALYSE-UDM (STE ANDRE) - ASDR;;;9D;LA REUNION;97440;ST ANDRE;146;Structure d'Alternative à la dialyse en centre;1203;Dialyse Ambulatoire;;07;ARS établissements de santé non financés dotation globale;0;Non concerné;1988-09-01;1997-01-01;2014-07-17;2017;200 R DUMESNIL D' ENGENTE;9D9D409;97440;ST ANDRE;-20.95263,55.65354;
970406864;130804370;F.A.O. BARRE D'JOUR;FOYER D'ACCUEIL OCCUPATIONNEL BARRE D'JOUR;;;9D;LA REUNION;97438;STE MARIE;382;Foyer de Vie pour Adultes Handicapés;4301;Héberg.Adultes Handi;8720A;08;Président du Conseil Général;;;2007-03-20;2007-03-20;2014-08-06;2014;44 R ABBE PIERRE;9D9D418;97438;STE MARIE;-20.933459,55.534953;
970403143;970403093;LABM LABOSIP SAINTE CLOTILDE;LABORATOIRE D'ANALYSES BIOLOGIE MEDICALELABOSIP STE CLOTILDE;;;9D;LA REUNION;97490;STE CLOTILDE;610;Laboratoire d'Analyses;3101;Labo Biolog Médicale;8690B;01;Etablissement Tarif Libre;;;1996-01-22;1997-01-01;2010-08-25;2010;2 R DE LA CLINIQUE;9D9D411;97490;STE CLOTILDE;-20.902079,55.477978;
970465431;970402160;PHARMACIE DE LA MONTAGNE;PHARMACIE DE LA MONTAGNE;;;9D;LA REUNION;97417;LA MONTAGNE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1971-07-01;2013-09-10;2013-09-18;2015;25 RTE DES PALMIERS;9D9D411;97417;LA MONTAGNE;-20.889297,55.424767;
970463907;970400644;PHARMACIE DES DEUX RIVES;PHARMACIE DES DEUX RIVES;;;9D;LA REUNION;97441;STE SUZANNE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;2013-05-03;2013-11-12;2013-11-15;2014;2 R GUY NASSAU;9D9D420;97441;STE SUZANNE;-20.951974,55.625479;
970463345;970405270;C. M. P. P.    HENRI WALLON;CENTRE MEDICO-PSYCHO-PEDAGOGIQUE HENRI WALLON;;;9D;LA REUNION;97490;STE CLOTILDE;189;Centre Médico-Psycho-Pédagogique (C.M.P.P.);4106;Serv.Dom.Ambul.Handi;05;Préfet de Département établissements médico-sociaux;;;;2007-04-16;;;2008;6 R EDMOND ROSTAND;9D9D411;97490;STE CLOTILDE;-20.886634,55.467246;
970430534;590799730;C.A.T. JEAN CLERMONT (ALEFPA);CENTRE D'AIDE PAR LE TRAVAIL JEAN CLERMONT (A.L.E.F.P.A.);;;9D;REUNION;97432;RAVINE DES CABRIS;246;Ctre d'Aide par le Travail (C.A.T.);4302;Trav.Prot.Adul.Handi;05;Préfet de Département établissements médico-sociaux;;;1978-09-12;;;;2004;LIGNE DES BAMBOUS;9D9D416;97432;RAVINE DES CABRIS;-21.300898,55.492623;
970467262;970462875;JARDIN ENFANTS MACE MILLILERI;JARDIN D'ENFANTS MACE MILLILERI;;;9D;LA REUNION;97400;ST DENIS;171;Garderie et Jardin d'Enfants;5101;Etab.Gard.Enf.Présco;;01;Etablissement Tarif Libre;;;1966-03-22;1966-03-22;1995-06-07;2013;2 R JEAN CHATEL;9D9D411;97400;ST DENIS;-20.874297,55.44871;
970405171;970430898;SESSAD DI IMS CHARLES  ISAUTIER;S.E.S.S.A.D.  IMS CHARLES ISAUTIER (IMP ST PIERRE);I. M. S.   CHARLES ISAUTIER;;9D;LA REUNION;97410;ST PIERRE;182;Service d'Éducation Spéciale et de Soins à Domicile;4106;Serv.Dom.Ambul.Handi;8891B;34;ARS / DG dotation globale;;;1997-03-28;1997-03-28;2016-04-05;2016;80 BD HUBERT DE LISLE;9D9D416;97410;ST PIERRE;-21.339147,55.459144;
970465589;970402319;GRANDE PHARMACIE CREOLE;GRANDE PHARMACIE CREOLE;;;9D;LA REUNION;97440;ST ANDRE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;;2002-03-21;;;2008;392 AV DE BOURBON;9D9D409;97440;ST ANDRE;-20.964115,55.649211;
970463436;970403614;SOINS LONGUE DUREE;SOINS DE LONGUE DUREE - GROUPE HOSPITALIER SUD REUNION;GROUPE HOSPITALIER SUD REUNION;;9D;LA REUNION;97430;LE TAMPON;362;Etablissement de Soins Longue Durée;1109;Etab.Longue Durée;17;Autorité mixte ARH PCG  dotation globale;Etab.public de santé;;;2005-06-08;;;2008;R DOCTEUR CHARRIERES;9D9D422;97430;LE TAMPON;-21.256881,55.514481;
970464251;970400990;PHARMACIE DE SAINT FRANCOIS;;;;9D;LA REUNION;97400;ST DENIS;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1981-05-18;2001-12-03;2008-06-16;2014;122 RTE DE SAINT FRANCOIS;9D9D411;97400;ST DENIS;-20.915877,55.459279;
970404513;970400388;INTERMETRA METRAG;INTERMETRA METRAG;;;9D;LA REUNION;97410;ST PIERRE;438;Centre de Médecine collective;2201;Dispensaires;;99;Indéterminé;;;1997-01-01;1998-01-01;2014-06-05;2014;92 R SUFFREN;9D9D416;97410;ST PIERRE;-21.335667,55.473447;
970431748;970402004;DISPENSAIRE    DE SAINT-BENOIT;DISPENSAIRE    DE SAINT-BENOIT;;;9D;LA REUNION;97470;ST BENOIT;223;Protection Maternelle et Infantile (P.M.I.).;2202;PMI Plani. Familiale;01;Etablissement Tarif Libre;;;;2005-02-02;;;2007;1 R BEAULIEU;9D9D410;97470;ST BENOIT;-21.036859,55.690184;
970463410;970462636;S.S.A.D.P.A. CROIX ROUGE (PORT);SERVICE DE SOINS A DOMICILE PR PERSONNES AGEES CROIX ROUGE;;;9D;LA REUNION;97420;LE PORT;354;Service de Soins infirmiers à Domicile;4605;étab multi clientèle;05;Préfet de Département établissements médico-sociaux;;;;2007-06-28;;;2007;1 PL CLARA ZETKIN;9D9D407;97420;LE PORT;-20.948959,55.301559;
970463154;130804370;CENTRE DE REEDUCATION LA RESSOURCE;CENTRE DE REEDUCATION LA RESSOURCE;;;9D;LA REUNION;97438;STE MARIE;196;Institut d'Education Sensorielle Sourd/Aveugle;4104;Etab.Défic.Sensor.;;05;Préfet de Département établissements médico-sociaux;;;1958-01-01;1958-01-01;2010-07-08;2011;;9D9D418;97438;STE MARIE;-20.946245,55.534881;
970403770;970463592;A. U. R. A. R. (UNITE D'AUTODIALYSE);A. U. R. A. R. (UNITE D'AUTODIALYSE)  -  LE TAMPON;;;9D;LA REUNION;97430;LE TAMPON;146;structure d'alternative à la dialyse en centre;1203;Dialyse Ambulatoire;07;ARH établissements de santé non financés dotation globale;non PSPH;;1980-09-03;;;;2005;60 R DU DOCTEUR CHARRIERE;9D9D422;97430;LE TAMPON;-21.259426,55.510286;
970431607;970402004;DISPENSAIRE    DE SAINTE-MARIE;DISPENSAIRE    DE SAINTE-MARIE;;;9D;LA REUNION;97438;STE MARIE;223;Protection Maternelle et Infantile (P.M.I.);2202;PMI Plani. Familiale;;01;Etablissement Tarif Libre;;;1969-04-10;1969-04-10;2005-02-02;2014;1 R DE LA GARE;9D9D418;97438;STE MARIE;-20.896519,55.546339;
970409280;970407904;CERBALLIANCE PLATEAU CAILLOU;CERBALLIANCE PLATEAU CAILLOU;;;9D;LA REUNION;;97460;ST PAUL;Laboratoire de Biologie Médicale;3101;Labo Biolog Médicale;;1;Etablissement Tarif Libre;;;2013-05-15;2013-05-15;2016-12-07;2018;1 R PIERRE BROSSELETTE;;97460;ST PAUL;-21.001599,55.27842;
970430765;970430898;C. H. R. S.  AGNÈS SCHÜLER;CENTRE HEBERGEMENT & DE READAPTATION SOCIALE  AGNÉS SCHÜLER;;;9D;LA REUNION;97400;ST DENIS;214;Centre Hébergement & Réinsertion Sociale (C.H.R.S.);4601;Adult.Fam.Difficulté;8790B;30;Préfet de région établissements et services sociaux;;;2017-01-03;1980-01-01;2017-04-21;2017;10 ALL DES AJONCS;9D9D411;97400;ST DENIS;-20.898874,55.457309;
970465225;970401949;PHARMACIE PAYET LUCAY GERVAIS;;;;9D;LA REUNION;97435;ST GILLES LES HAUTS;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1979-11-21;2014-07-01;2014-07-01;2014;48 R JOSEPH HUBERT;9D9D415;97435;ST GILLES LES HAUTS;-21.049776,55.267209;
970409108;970408324;REUNILAB LA SALINE;REUNILAB LA SALINE;;;9D;LA REUNION;97422;LA SALINE;611;Laboratoire de Biologie Médicale;3101;Labo Biolog Médicale;;01;Etablissement Tarif Libre;;;2013-10-28;2013-10-28;2013-11-12;2014;183 R JEAN ALBANY;9D9D415;97422;LA SALINE;-21.080549,55.270992;
970405502;970405494;PHARMACIE RAVINE DU PONT;;;;9D;LA REUNION;97429;PETITE ILE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;2000-12-13;2004-06-17;2010-02-27;2015;39 R PAUL DEMANGE;9D9D405;97429;PETITE ILE;-21.340853,55.559966;
970467221;970431425;HALTE GARDERIE DISTRICT ARMþEBE;HALTE GARDERIE DU DISTRICT SOCIAL INTER ARMþEBEES;;CASERNE LAMBERT;9D;LA REUNION;97400;ST DENIS;170;Halte Garderie;5101;Etab.Gard.Enf.Présco;;01;Etablissement Tarif Libre;;;1970-01-01;1970-01-01;1995-06-07;2010;;9D9D411;97400;ST DENIS;-20.943522,55.448016;
970406880;970430898;EHPAD (PERE FAFRON ENTRE DEUX);EHPAD (PERE FAVRON ENTRE DEUX);;;9D;LA REUNION;97414;ENTRE DEUX;200;Maison de Retraite;4401;Héberg.Pers.Agées;;99;Indéterminé;;;2006-01-31;2011-05-01;2011-11-15;2011;120 RTE DU BRAS LONG;9D9D403;97414;ENTRE DEUX;-21.236035,55.471395;
970464277;970401006;PHARMACIE DU TAMARINIER;PHARMACIE DU TAMARINIER;;;9D;LA REUNION;97427;L ETANG SALE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;;2002-03-21;;;2008;112 AV RAYMOND BARRE;9D9D404;97427;L ETANG SALE;-21.264023,55.364028;
970402814;970402806;LAB AUSTRAL;LABORATOIRE D'ANALYSES DE BIOLOGIE MEDICALE LAB AUSTRAL;;;9D;LA REUNION;97430;LE TAMPON;610;Laboratoire d'Analyses;3101;Labo.d'Analyses;;01;Etablissement Tarif Libre;;;1984-02-01;1984-02-01;2008-11-18;2009;192 R HUBERT DELISLE;9D9D422;97430;LE TAMPON;-21.281168,55.51764;
970464723;970401451;PHARMACIE DU BUTOR;PHARMACIE DU BUTOR;;;9D;LA REUNION;97400;ST DENIS;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;;2007-08-09;;;2007;318 R MARECHAL LECLERC;9D9D411;97400;ST DENIS;-20.88345,55.46353;
970464483;970401212;PHARMACIE DU SOLEIL LAMBLIN;PHARMACIE DU SOLEIL;;;9D;LA REUNION;97436;ST LEU;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;;2008-08-13;;;2008;154 CHE DEPARTEMENTAL13;9D9D413;97436;ST LEU;-21.165988,55.305404;
970464657;970401386;PHARMACIE DES MASCAREIGNES;PHARMACIE DES MASCAREIGNES;;;9D;LA REUNION;02 62 42 17 78;97420;LE PORT;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;1;Etablissement Tarif Libre;;;1993-04-21;1990-11-21;2018-03-09;2018;86 AV RICO CARPAYE;;97420;LE PORT;-20.948413,55.299409;
970464988;970401717;SELARL LO KING FUNG PHARMACIENS;SELARL LO KING FUNG PHARMACIENS;;;9D;LA REUNION;97450;ST LOUIS;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1996-12-27;2002-01-04;2008-02-04;2017;3 R DE L EGLISE;9D9D414;97450;ST LOUIS;-21.287274,55.408698;
970430153;970400149;CENTRE EDUCATIF RENFORCE;CENTRE EDUCATIF RENFORCE;;;9D;LA REUNION;97418;LA PLAINE DES CAFRES;177;Maison d'Enfants à Caractère Social;4501;Aide Sociale Enfance;;08;Président du Conseil Départemental;;;1960-01-01;1960-01-01;2013-09-04;2016;;9D9D422;97418;LA PLAINE DES CAFRES;-21.222465,55.559851;
970409868;970402004;PMI PLATEAU  CAILLOU;PROTECTION MATERNELLE ET INFANTILE;;;9D;LA REUNION;97460;ST PAUL;223;Protection Maternelle et Infantile (P.M.I.);2202;PMI Plani. Familiale;;01;Etablissement Tarif Libre;;;1971-07-30;1971-07-30;2014-06-24;2017;60 R DE SIGOYER;9D9D415;97460;ST PAUL;-21.024136,55.266773;
